company,time,Mclsprc,Mnshrtrd,Mnvaltrd,Msmvosd,returns1,shizhi,returns
12,Nov-16,13.86,1860467003,25994599424,18074436.56,0.076183516,14983209.52,-0.011220063
12,Nov-15,9.95,412722616,4398503893,12960393.66,0.005269563,14259679.41,0.009959264
12,Nov-14,8.21,825517879,6609599123,10695729.97,0.022248554,13375090.66,0.049659469
12,Nov-13,9.16,417434161,3727087979,11941356.96,0.013971854,10573486.14,-0.011185005
12,Nov-12,6.82,166162965,1184799277,8878239.96,-0.016248883,10287978.34,0.004171334
12,Nov-11,10.42,586756443,7069292392,13440051.36,-0.075203587,12657553.17,-0.017716595
12,Nov-10,22.1,1548616122,33538116428,28166130.77,0.068620374,25994170.2,-0.001472498
12,Nov-09,20.41,489524898,8880244042,11570108.67,0.107899941,11480351.99,0.023248577
12,Nov-08,7.37,275894765,2071186775,3978188.17,0.073677103,6606923.098,0.079675204
12,Nov-07,18.66,76014761,1410048732,7210155.31,-0.073677103,7646556.083,-0.009166632
12,Nov-06,9.19,151557861,1252495339,1999991.19,0.06131262,2874965.413,0.054185365
12,Nov-05,4.3,77445798,353171519,691220.68,-0.065501549,898318.9733,0.031908503
12,Nov-04,9.2,43298302,396480869,985927.17,-0.033161421,868401.795,-0.026982191
12,Nov-03,7.59,33928851,251694779,813389.92,0.015730695,983783.8533,0.025489942
12,Nov-02,11.18,46960358,514515133.2,1198115.85,-0.03470234,1165072.997,-0.012566061
12,Nov-01,14.72,15786280,222692074.7,1577483.48,0.044056169,1401909.852,0.017296335
39,Nov-16,15.28,441436759,6898399515,19268878.4,0.03986058,19943564.31,0.010741208
39,Nov-15,18.9,478062952,9713847236,23737851.54,0.002535024,20252983.86,-0.018311915
39,Nov-14,18.13,445420391,7944692147,22512057.55,0.031025362,26370334.88,0.03039861
39,Nov-13,14.39,299648992,4092498138,17721925.59,0.05494154,17875976.6,0.000114078
39,Nov-12,9.36,83883163,822821857,11527256.67,-0.028289639,14858584.59,0.009936522
39,Nov-11,14.3,395015098,6637707053,17607549.46,-0.080192409,17568915.83,-0.007532792
39,Nov-10,18.68,436096568,7996617274,23000631.04,0.040927951,29370541.71,0.021879819
39,Nov-09,11.87,562602569,6799071459,14615497.35,0.061613494,16458338.77,0.013780136
39,Nov-08,6.73,128323510,888173469.9,7169905.95,0.037026589,7791368.825,0.022558995
39,Nov-07,22.6,244320996,6000954460,21068739.8,-0.092584027,19884788.5,-0.036811079
39,Nov-06,15.7,545973738,7675271286,10452526.14,0.065565884,14763360.96,0.049335801
39,Nov-05,7.8,243090702,1933717622,4720886.15,-0.025935734,5675150.743,0.028291847
39,Nov-04,21.26,96571646,2085597972,6440360.24,-0.040165286,7703051.428,-0.032472308
39,Nov-03,16.6,13989118,235594506,1145183.04,-0.003647366,3532467.74,0.019547196
39,Nov-02,14.81,5552522,81983974.49,1021696.43,-0.003504749,1036298.667,0.004328243
39,Nov-01,24.97,6136829,149306948.9,1142600.08,0.002092149,1209446.962,0.006806042
55,Nov-16,14.64,178449647,2581351046,6148604.92,-0.016302511,5928811.895,-0.011205434
55,Nov-15,10.83,387826664,4509958094,4550543.16,0.003624175,5304779.605,0.03302757
55,Nov-14,11.52,244884693,2687030140,4840466.96,0.070226403,4514827.908,0.020564152
55,Nov-13,5.66,44523501,244432551.6,2382035.19,0.020422671,2521012.853,0.016044356
55,Nov-12,3.87,59120941,237298894,1628706.04,-0.022949198,1854564.502,0.006120468
55,Nov-11,4.86,144734583,783416655.6,2045351.77,-0.043338016,1942242.473,-0.003876084
55,Nov-10,10.54,248402147,2771680640,2451860.29,-0.032919854,2302399.168,-0.037528633
55,Nov-09,10.68,308284231,2962491250,2321895.04,0.104809292,2334450.235,0.025600991
55,Nov-08,4.32,180511407,761964466.2,748041.07,0.038886651,1084718.84,0.061355638
55,Nov-07,7.36,42749001,314954082,872938.61,0.001181754,1070906.578,0.009591326
55,Nov-06,4.97,24681559,122137652,350968.01,-0.036840876,540343.7017,0.044104303
55,Nov-05,5.73,45252597,284883280,240108.89,-0.02071985,247886.9267,-0.017950272
55,Nov-04,9.58,29744643,276566378,401438.6,0.064911561,308412.1133,-0.029480267
55,Nov-03,7.64,7044695,52246353,320145.18,-0.000568077,384886.5867,0.024557141
55,Nov-02,8.48,5047712,45564882.41,355344.39,-0.067239342,404022.6633,-0.014346528
55,Nov-01,13.8,2809945,37194754.14,578272.72,0.027274085,522121.6,-0.001409909
60,Nov-16,12.6,2202617383,27632008535,27864314.43,0.06454072,25318474.34,-0.003972785
60,Nov-15,12.25,1549558307,20063958611,25252426.51,0.028951471,24080244.6,-0.00626365
60,Nov-14,8.21,784585485,6240943319,16921137.99,0.033529565,23891893.77,0.06336854
60,Nov-13,6.65,140407033,917875435.2,13705805.88,0.006580345,12221810.65,-0.013573579
60,Nov-12,7.43,101881413,777792018.2,15315135.54,-0.006382532,18798658.97,0.010191396
60,Nov-11,9.36,206012186,2115536298,19288050.96,-0.053620111,19221726.21,-0.008244026
60,Nov-10,19.18,1201490203,27063923257,30404458.97,-0.071067628,32121777.21,-0.012374881
60,Nov-09,27.18,401457242,11370029450,21497954.95,0.008389307,24723467.18,-0.007337224
60,Nov-08,7.4,192969453,1440850361,5511399.81,0.058999202,8554759.398,0.063722489
60,Nov-07,37.24,234124537,10216078721,18576324.85,-0.207141578,18052556.3,-0.05119218
